"1","1638"
"100","65"
"10000","216"
"10001","34722"
"10001","1308"
"10002","3260"
"10003","3261"
"10004","3262"
"10005","3263"
"10006","1279"
"10006","42488"
"10007","272"
"10008","247"
"10008","1635"
"10009","3265"
"1001","16"
"1001","507"
"10010","2939"
"10011","49"
"10012","180"
"10013","116"
"10014","116"
"10015","116"
"10016","116"
"10017","116"
"10018","116"
"10019","116"
"1002","507"
"1002","16"
"10020","3266"
"10020","116"
"10021","3137"
"10022","3267"
"10023","3268"
"10024","3269"
"10025","3177"
"10026","116"
"10027","3270"
"10028","39561"
"10029","3271"
"1003","16"
"1003","507"
"10030","4524"
"10031","481"
"10031","37852"
"10032","116"
"10033","116"
"10034","116"
"10035","116"
"10036","116"
"10037","3273"
"10038","3274"
"10039","9866"
"10039","2728"
"1004","507"
"1004","16"
"10040","3275"
"10041","166"
"10042","4602"
"10042","3276"
"10043","3277"
"10044","986"
"10045","2034"
"10046","285"
"10047","116"
"10048","3278"
"10049","963"
"1005","3622"
"1005","507"
"10050","963"
"10051","963"
"10052","963"
"10056","1180"
"10056","824"
"10056","1114"
"10056","7977"
"10056","7976"
"10056","4842"
"10056","7975"
"10057","63"
"10058","3284"
"10059","42"
"1006","507"
"1006","3622"
"10060","595"
"10062","3288"
"10063","3289"
"10064","789"
"10065","3290"
"10066","743"
"10067","980"
"10068","3291"
"10068","7429"
"10069","3292"
"1007","3622"
"1007","507"
"10070","3293"
"10071","3294"
"10072","3295"
"10073","3296"
"10073","4786"
"10074","116"
"10075","3297"
"10076","1256"
"10077","116"
"10078","3298"
"10079","116"
"1008","507"
"1008","3622"
"10080","3299"
"10081","1939"
"10082","3300"
"10082","4400"
"10083","541"
"10084","40400"
"10084","32695"
"10084","1487"
"10085","4756"
"10086","1433"
"10087","3301"
"10088","3302"
"10089","3303"
"10090","3304"
"10091","116"
"10092","116"
"10093","127"
"10094","980"
"10095","3305"
"10096","1680"
"10096","1681"
"10097","657"
"10098","3306"
"10099","2629"
"10099","729"
"101","66"
"10100","3136"
"10101","484"
"10102","3141"
"10103","3319"
"10103","3308"
"10103","8944"
"10104","116"
"10105","116"
"10106","116"
"10107","3309"
"10108","216"
"10109","3310"
"10110","1627"
"10111","3311"
"10112","525"
"10114","8944"
"10114","3308"
"10114","3319"
"10116","40685"
"10116","344"
"10118","7109"
"10119","1529"
"10119","2718"
"10120","3315"
"10121","4842"
"10122","628"
"10123","42"
"10124","42"
"10125","293"
"10125","40665"
"10126","3317"
"10127","3040"
