"1060","Carolyn Wells"
"2391","Elizur Wright"
"2390","James W. (James Watson) Gerard"
"36407","James Bramston"
"37738","L. K. (Lemuel Kelley) Washburn"
"36408","F. P. Lock"
"37739","David E. (David Ernest) Lantz"
"1059","John Lydgate"
"1058","Emory Adams Allen"
"2389","Delia Salter Bacon"
"1057","Fergus Hume"
"2388","Hugo de Vries"
"1056","William Harrison Ainsworth"
"36400","Francis L. Lincoln"
"37731","Sara Beaumont Kennedy"
"36401","William Forbes-Mitchell"
"37732","Arthur MacDonald"
"36402","T. B. (Thomas Belden) Butler"
"36403","Charles Loring Brace"
"37734","Christine Terhune Herrick"
"36404","V. V. Vide"
"37735","Frank Waller Allen"
"36405","Lewis R. (Lewis Ransome) Freeman"
"37736","E. J. (Edward John) Hardy"
"36406","P. W. (Patrick Weston) Joyce"
"25759","Lionel Strachey"
"1077","W. B. M. (William Blair Morton) Ferguson"
"1076","Albert Bigelow Paine"
"25754","Frank Herbert"
"1075","Giacomo Casanova"
"1074","May Agnes Fleming"
"25753","Benjamin A. (Benjamin Alexander) Heydrick"
"1073","Octave Thanet"
"25756","Avis A. Burnham Stanwood"
"1071","Ralph Waldo Emerson"
"37727","Vincent Starrett"
"37728","Arthur W. Marchmont"
"37729","Edgar Giberne"
"1069","Johan Bojer"
"2399","Monier Monier-Williams"
"1068","Holland Thompson"
"37720","Alexander Miller Harvey"
"37721","Chester E. (Chester Eugene) Jorgenson"
"37722","William Mason"
"37723","John Morris"
"37724","Sidney Morgan"
"37725","H. P. (Henry Potter) Stevens"
"1080","Henry Festing Jones"
"25727","Lorimer Stoddard"
"25728","Augustus Allen Hayes"
"1088","Frederic Austin Ogg"
"25720","R. A. Lafferty"
"1085","Willis George Emerson"
"1084","Allen Johnson"
"25722","Charles Fenno Hoffman"
"1083","Janis Ian"
"25725","Edwin Lefevre"
"25724","Fitz Hugh Ludlow"
"37719","William H. Nash"
"1079","Philip Dwight Jones"
"1078","Francis Pretty"
"37710","Elise Lathrop"
"37711","T.N. Hibben & Co."
"37713","Daniel J. MacDonald"
"37714","William Wallace Bass"
"37715","E. Gertrude (Emily Gertrude) Thomson"
"25738","Charles H. Stephens"
"1091","Robert Frost"
"1090","Dorothy M. (Dorothy Miller) Richardson"
"25739","L. Evans"
"1099","James Elroy Flecker"
"1098","Samuel Peter Orth"
"1097","Burton Jesse Hendrick"
"25732","Helen M. Urban"
"25731","Edmund Flagg"
"1096","John Moody"
"1095","Jesse Macy"
"1094","Emerson Hough"
"25733","Arthur Charles Fox-Davies"
"1093","Max Farrand"
"1092","Lucretia P. (Lucretia Peabody) Hale"
"37705","Frank Moore"
"37706","George Fitzhugh"
"37707","W. H. P. (William Henry Pope) Jarvis"
"37708","Frank McKernan"
"37709","Alexander Agassiz"
"37700","Adam Szymański"
"37701","Wacław Sieroszewski"
"37702","Juliusz Kaden-Bandrowski"
"37703","Zofia Nałkowska"
"25707","George Barton Cutten"
"25709","C. C. MacApp"
"25700","Robert Barnes"
"25702","P. C. (Peter Charles) Remondino"
"25715","John Ludlum McConnel"
"25718","Larry T. Shaw"
"25717","Harriet L. (Harriet Lummis) Smith"
"25719","William Carroll"
"25710","Ed M. Clinton"
"25712","Will Mohler"
"25711","Frank Banta"
"25714","Walter S. Tevis"
"25713","John Sillars"
"36360","Arthur Compton-Rickett"
"37692","Loretta Ellen Brady"
"36362","William H. Clark"
"36363","Edmund Candler"
"37694","Joseph Barry"
"36364","William Hogarth"
"37695","Leslie Ward"
"37696","Henry W. Brown"
"36365","Samuel Appleton"
"35034","Dorothy Richardson"
"35031","Harold Cox"
"35030","Charles Sarolea"
"35039","Henry Hartshorne"
"35036","G. E. Lee"
"35035","Helen Jacobs"
"37697","Parley P. (Parley Parker) Pratt"
"36367","Gary L. Phillips"
"37698","William Notman & Son"
"36368","Frances Freeling Broderip"
"37699","Stefan Żeromski"
"36369","Charles W. (Charles William) Wood"
"47007","Henry Roth"
"36350","T. J. (Thomas James) Cobden-Sanderson"
"36351","T. C. (Thomas Chalmers) Harbaugh"
"47005","Charles Dawbarn"
"36353","Bill Gleasner"
"37684","C. T. (Clinton Thomas) Dent"
"36354","Diana C. Gleasner"
"47004","Percy Bulcock"
"35022","Robert B. Finley"
"35021","John Bate"
"35029","Frank R. Grey"
"35028","Eveline Lance"
"35027","D. Downing"
"35026","Katharine Ellis Barrett"
"35025","Vance Simonds"
"35024","Elizabeth Lee"
"37686","Canada. Department of the Interior"
"37687","John Hope"
"37688","Francis J. (Francis James) Grimké"
"37689","Lewis Beach"
"36340","H. H. (Herbert Hall) Turner"
"37671","Hilary Trent"
"37672","Emma Louise Smith Dillingham"
"37673","George Harrison De La Vergne"
"36343","Frederick Edward Maning"
"37674","W. N. Armstrong"
"25686","Edward J. Wheeler"
"35011","Conway Evans"
"25688","Richard Archer"
"35010","Gustavus Woodson Smith"
"35019","James Francis Thierry"
"25680","Evelyn E. Smith"
"35018","Hattie Tyng Griswold"
"35017","Jacob Zeitlin"
"35016","Frits Lugt"
"25681","M. B. (Margaret Bertha) Synge"
"25684","H. C. G. (Handley Carr Glyn) Moule"
"25683","Warwick Goble"
"36344","Don Martin"
"37675","James W. (James Walter) Girvin"
"36345","William H. Ingram"
"37676","Francis Neilson"
"36346","John Dodge"
"36347","Clarence Monroe Burton"
"36348","Nina H. Kennard"
"36349","Aymer Vallance"
"38990","Thomas Davidson"
"37660","Belle Moses"
"38992","T. Aaron Levy"
"37661","Charles B. (Charles Billings) Stilson"
"38991","John S. Springer"
"36331","Thomas Baines"
"37662","Samuel V. Leech"
"38994","John Alberger"
"36332","Violet Purton Biddle"
"35001","Thomas H. (Thomas Huston) Macbride"
"35009","James Edgar Smith"
"35008","William Lewis Sachtleben"
"25691","M. (Madelaine) Irwin"
"35007","Thomas Gaskell Allen"
"35006","Robert Hunter"
"25693","Thomas Hodson"
"35004","Henry Glasse"
"25694","Elizabeth Bellows"
"35002","Franz Adam Beyerlein"
"38996","William Hogan"
"37665","Frederic Cayley Robinson"
"36334","James Melville Beard"
"38995","Ethan Allen"
"37666","Frances Eleanor Trollope"
"38998","Johannes Ronge"
"36336","Joseph Theodore Harris"
"38997","Robert Cooper"
"37668","William Hamilton"
"37669","T. (Thomas) Cadell"
"38999","A. P. Doyle"
"36339","Sarah J. (Sarah Johnson) Prichard"
"38981","Ireland. Ministry of Economic Affairs"
"38980","W. W. Kettlewell"
"37650","Francis Stevens"
"36320","Mary Morison"
"37651","Sarah Holland Adams"
"38983","Harold Taylor"
"36321","Herbert Bury"
"38982","John Harrington Smith"
"25666","Eleanor Putnam"
"25668","Julia de Winton"
"25669","Robert W. Lowndes"
"25660","Friedrich von Flotow"
"25661","W. Friedrich"
"36322","H. C. (Henry Cadwallader) Adams"
"38985","Francis Leopold M'Clintock"
"36323","David Ricardo"
"37654","Alexander Walker"
"37655","Edward Hitchcock"
"38987","E. B. Brenton"
"37656","Walter Jekyll"
"38986","Vaughan Cornish"
"37657","George Francis Dawson"
"36327","Plattsburgh Barracks (N.Y.)"
"37658","Charles Bullard Fairbanks"
"38988","Louis M. (Louis Marshall) Warfield"
"37659","Samuel Joseph"
"36329","Effie Price Gladding"
"38970","W. R. (Wilbur Reed) Mattoon"
"38972","George Spencer Cautley"
"37641","S. N. Haleole"
"36310","Luther W. Hopkins"
"38971","Robert B. (Robert Barclay) Miller"
"25675","Shelby M. (Shelby Moore) Cullom"
"25674","Allan Arnold"
"25677","Richard Hildreth"
"25679","Roger D. Aycock"
"25678","Augustus De Morgan"
"36319","Daniel P. (Daniel Parish) Kidder"
"25671","Charles Wagner"
"25670","Mary Louise Hendee"
"36311","H. Onslow Curling"
"37642","Louise Mack"
"36312","Arthur Edward Burgett"
"37643","Alfred Austin"
"38973","Malvin R. Zirker"
"36313","Christy Mathewson"
"37644","Anne (Anne Burrows) Gilchrist"
"38976","Powell Chase"
"36314","John N. (John Neville) Wheeler"
"37645","Thomas Biggs Harned"
"38975","Frank Herbert Tubbs"
"36315","Charles Reynolds Brown"
"37646","Ossip Schubin"
"38978","Leonard Charles Van Noppen"
"38977","J. V. (Jedediah Vincent) Huntington"
"37648","John Coulter"
"37649","Theodore B. (Theodore Brown) Hapgood"
"38979","James Thomson Callender"
"38961","Archibald Alexander"
"37630","John A. (John Ambrose) McHugh"
"38960","John Gwynn"
